company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
Verisign,george mason university,84,virginia tech,30,university of maryland,27,northern virginia community college,24,james madison university,18,strayer university,14,virginia tech - pamplin college of business,14,university of virginia,14,the george washington university,13,the johns hopkins university,12,jawaharlal nehru technological university,10,university of maryland global campus,10,san josé state university,9,georgetown university,9,george mason university – costello college of business,8,470
Verisk Analytics,utah valley university,90,agh university of krakow,78,rutgers university,74,brigham young university,65,jagiellonian university,57,krakow university of economics,55,montclair state university,42,northeastern university,41,jawaharlal nehru technological university,41,stevens institute of technology,37,columbia university,30,new york university,30,texas a&m university,29,rutgers business school,28,utah state university,26,471
Verizon,strayer university,2229,university of phoenix,1443,rutgers university,775,stevens institute of technology,584,jawaharlal nehru technological university,554,new jersey institute of technology,450,anna university chennai,446,penn state university,446,villanova university,418,osmania university,409,jntuh college of engineering hyderabad,338,new york university,276,university of madras,262,"birla institute of technology and science, pilani",255,rutgers business school,201,472
Vertex Pharmaceuticals,northeastern university,293,boston university,162,university of massachusetts amherst,141,harvard university,85,university of massachusetts lowell,82,massachusetts institute of technology,77,tufts university,75,boston college,75,uc san diego,74,umass boston,69,university of rhode island,67,university of connecticut,60,university of oxford,56,rutgers university,54,purdue university,49,473
Viatris,west virginia university,260,technological university dublin,187,savitribai phule pune university,101,andhra university,100,university of galway,89,dublin city university,82,university college dublin,82,cairo university,76,anadolu university,75,université claude bernard lyon 1,70,penn state university,69,university college cork,66,jawaharlal nehru technological university,58,trinity college dublin,56,munster technological university,55,474
Vici Properties,georgetown university mcdonough school of business,2,amherst college,2,university of nevada-las vegas,2,unc kenan-flagler business school,2,university of north carolina at chapel hill,2,georgetown university,2,archbishop alter high school,1,gonzaga university,1,universitatea „politehnica” din timișoara,1,new york university school of law,1,vanderbilt university law school,1,tulane university - a.b. freeman school of business,1,usc gould school of law,1,rutgers university - camden,1,yale university,1,475
Visa Inc.,national university of singapore,439,the university of texas at austin,313,"university of california, berkeley",288,san josé state university,208,stanford university,196,visvesvaraya technological university,191,university of mumbai,184,"university of california, berkeley, haas school of business",174,"birla institute of technology and science, pilani",160,university of southern california,148,cornell university,146,the london school of economics and political science (lse),143,insead,126,fgv - fundação getulio vargas,126,the wharton school,113,476
Vistra Corp.,university of north texas,74,texas a&m university,72,the university of texas at arlington,57,the university of texas at austin,53,the university of texas at dallas,44,southern methodist university,38,penn state university,32,texas tech university,29,tarleton state university,29,excelsior university,25,smu cox school of business,25,the university of toledo,25,dallas college,22,baylor university,15,collin college,14,477
Vulcan Materials Company,the university of alabama,83,university of alabama at birmingham,76,auburn university,72,virginia tech,49,"university of tennessee, knoxville",27,samford university,24,middle tennessee state university (mtsu),23,university of phoenix,23,the university of texas at san antonio,18,jefferson state community college,17,texas a&m university,15,university of arizona,15,kennesaw state university,13,"california state university, chico",12,university of kentucky,11,478
W. R. Berkley Corporation,penn state university,10,nyu stern school of business,9,university of buenos aires,9,iowa state university,8,virginia tech,8,nanjing university,8,boston university,8,virginia commonwealth university,7,new york university,7,university of connecticut,7,fairfield university,6,university of illinois urbana-champaign,6,wayne state university,6,florida international university,6,drake university,5,479
W. W. Grainger,university of illinois urbana-champaign,279,university of phoenix,192,depaul university,187,northern illinois university,176,indiana university bloomington,135,university of wisconsin-madison,131,university of illinois chicago,126,illinois state university,124,universidad interamericana de panamá,115,university of wisconsin-whitewater,108,universidad tecnológica de panamá,93,indiana university - kelley school of business,89,universidad latina de panamá,84,loyola university chicago,80,michigan state university,78,480
Wabtec,penn state university,189,"penn state erie, the behrend college",171,gannon university,142,puc minas,141,visvesvaraya technological university,88,universidade federal de minas gerais,78,centro federal de educação tecnológica de minas gerais,76,universidad autónoma de nuevo león,73,university of pittsburgh,64,tecnológico de monterrey,62,politecnico di torino,59,"birla institute of technology and science, pilani",55,anna university chennai,53,centro universitário una,49,fgv - fundação getulio vargas,44,481
Walgreens Boots Alliance,university of illinois chicago,950,massachusetts college of pharmacy and health sciences,683,nottingham trent university,498,university of wisconsin-madison,459,university of florida,423,midwestern university,412,purdue university,412,university of illinois urbana-champaign,403,depaul university,367,northern illinois university,335,university of nottingham,322,de montfort university,272,loyola university chicago,225,universidad autónoma de nuevo león,183,rutgers university–new brunswick,180,482
Walmart,university of arkansas,3592,conestoga college,1272,tecnológico de monterrey,822,purdue university,646,jawaharlal nehru technological university,624,the university of texas at dallas,540,san josé state university,535,university of mumbai,523,cornell university,389,georgia institute of technology,354,visvesvaraya technological university,334,northeastern university,324,"birla institute of technology and science, pilani",293,vellore institute of technology,246,stanford university,225,483
Walt Disney Company (The),university of central florida,3785,"california state university, fullerton",2002,ucla,1493,university of southern california,1372,"california state university, long beach",1167,university of florida,1164,"california state university, northridge",909,new york university,795,florida state university,647,"university of california, berkeley",596,penn state university,548,university of mumbai,462,syracuse university,390,usc marshall school of business,247,ucla anderson school of management,228,484
Warner Bros. Discovery,new york university,530,university of southern california,433,ucla,402,"california state university, northridge",304,georgia state university,291,university of buenos aires,237,the university of georgia,230,tecnológico de monterrey,211,"university of california, berkeley",184,columbia university,177,boston university,168,syracuse university,162,university of michigan,136,northwestern university,134,cornell university,113,485
