name,location,average_gpa,average_sat_composite,Average Salary 1yr,Average Salary 5yr,acceptance_rate,average_act_composite,type_of_institution,level_of_institution,average_net_price,number_of_students,gpa_link,latitude,longitude,school_name_clean_key
utica university,"Utica, NY",3.4,1110.0,41078.166666666664,59720.4,0.81,23,PRIVATE,4 YEAR,22782.0,3861.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,utica university
aveda arts sciences institutelafayette,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,aveda arts sciences institutelafayette
tint school of makeup cosmetology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tint school of makeup cosmetology
bais hamedrash and mesivta of baltimore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bais hamedrash and mesivta of baltimore
memphis theological seminary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,memphis theological seminary
savannah college of art and design,"Savannah, GA",3.6,1162.0,26516.625,44789.5,0.82,25,PRIVATE,4 YEAR,52737.0,16414.0,https://www.appily.com/colleges/gpa/3-7,N/A,N/A,savannah college of art and design
suny college at geneseo,"Geneseo, NY",4.0,1217.0,36280.31578947369,65396.53333333333,0.75,--,PUBLIC,4 YEAR,18924.0,4184.0,https://www.appily.com/colleges/gpa/4-0,N/A,N/A,suny college at geneseo
alfred university,"Alfred, NY",3.4,1076.0,34353.8,55514.36363636364,0.51,20,PRIVATE,4 YEAR,20420.0,1813.0,https://www.appily.com/colleges/gpa/3-5,N/A,N/A,alfred university
berk trade and business school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,berk trade and business school
joffrey ballet school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,joffrey ballet school
edp school,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,edp school
bellus academychula vista,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bellus academychula vista
